75. Blok VII: Kewajaran Harga Satuan Pembibitan Tanaman Kehutanan,"/*Pengecekan kewajaran harga per unit satuan (r718 dibagi 717) komoditas tanaman kehutanan hasil usaha pembibitan tanaman kehutanan yang > =200*/SELECT id, id_art, id_ruta, status_dok, prov, kab, kec, desa, b7r702, b7r703, b7r717, b7r718 ,b7r718/b7r717 as ""harga persatuan""FROM view_L2_Blok7A WHERE ((b7r718/b7r717 >= '200'))"
76. Blok VII: Kewajaran Harga Satuan Penangkaran Tumbuhan dan Satwa Liar,"/*Pengecekan kewajaran harga per unit satuan (r728_1 dibagi 727_1) komoditas satwa/tumbuhan liar hasil usaha penangkaran < 10 atau  >= 10.000*/SELECT id, id_art, id_ruta, status_dok, prov, kab, kec, desa, b7r722, b7r723, b7r727, b7r728 ,b7r728/b7r727 as ""harga persatuan""FROM view_L2_Blok7BWHERE ((b7r728/b7r727 >= '10000') or (b7r728/b7r727 >'0' and b7r728/b7r727 <'10'))"
77. Blok VII: Kewajaran Harga Satuan Penangkapan Perburuan Satwa dan Pemungutan Hasil Hutan,"/*Pengecekan kewajaran harga per unit satuan (r737 dibagi 736) komoditas kehutanan hasil usaha pemungutan hasil hutan dan atau penangkapan dan perburuan satwa liar < 10 atau >=10.000 */SELECT id, id_art, id_ruta, status_dok, prov, kab, kec, desa, b7r732, b7r733, b7r734, b7r735, b7r736, b7r737, b7r737/b7r736 as ""harga persatuan""FROM view_L2_Blok7CWHERE ((b7r737/b7r736 >= '10000') or (b7r737/b7r736>'0' and b7r737/b7r736<'10'))"
78. Blok VII: Kewajaran Nilai Produksi Ikutan Budidaya Tanaman Kehutanan,"/*Pengecekan kewajaran nilai produksi ikutan kegiatan usaha budidaya tanaman kehutanan r720a atau 720b >=50.000 atau (<10 dan >0)*/SELECT id, id_art, id_ruta, prov, kab, kec, desa, status_dok, b7r720_1, b7r720_2FROM view_L2_Blok2 WHERE ((b7r720_1>= '50000') or (b7r720_1>'0' and b7r720_1<'10') or (b7r720_2>= '50000') or (b7r720_2>'0' and b7r720_2<'10'))"
79. Blok VII: Kewajaran Nilai Produksi Ikutan Penangkaran Tumbuhan dan Satwa Liar,"/*Pengecekan kewajaran nilai produksi ikutan kegiatan penangkaran tumbuhan/satwa liar r730>=50.000 atau (<10 dan >0)*/SELECT id, id_art, id_ruta, prov, kab, kec, desa, status_dok, b7r730FROM view_L2_Blok2 WHERE ((b7r730 >= '50000') or (b7r730>'0' and b7r730<'10'))"
80. Blok VII: Kewajaran Nilai Produksi Ikutan Penangkapan Perburuan Satwa dan Pemungutan Hasil Hutan,"/*Pengecekan kewajaran nilai produksi ikutan kegiatan usaha pemungutan hasil hutan hasil hutan, perburuan dan atau penangkapan satwa liar r 739 >=50.000  atau (<10 dan >0)*/SELECT id, id_art, id_ruta, prov, kab, kec, desa, status_dok, b7r739 FROM view_L2_Blok2 WHERE ((b7r739 >= '50000') or (b7r739>'0' and b7r739<'10'))"
"81. Blok VII: Isian kode rincian 701 Usaha Budidaya Tanaman Kehutanan, 721 Penangkaran Tumbuhan dan Satwa Liar, dan 731 Produksi Ikutan Penangkapan Perburuan Satwa dan Pemungutan Hasil Hutan","/*Pengecekan kelengkapan r702 dan r703*/SELECT id, id_art, id_ruta, prov, kab, kec, desa, status_dok, b7r702, b7r703 FROM view_L2_Blok7A WHERE ((b7r702  IS NULL and b7r703  IS NOT NULL) or (b7r702  IS not NULL and b7r703  IS NULL))"
"82. Blok VII: Konsistensi Jumlah Tanaman kehutanan, Sistem Penanaman dan Lahan Kegiatan Kehutanan","/*Jumlah  total tanaman budidaya kehutanan  >= 1000 , R705=1(sistem penanaman tunggal), tetapi tidak ada lahan kegiatan kehutanan*/SELECT A.prov, A.kab, A.kec, A.desa, A.id, A.id_ruta, A.id_art, A.status_dok, b7r705, ISNULL(b7r707,0)+ISNULL(b7r708,0)+ISNULL(b7r709,0)+ISNULL(b7r710,0) AS total_tanaman, B.b3r319_totalFROM view_L2_Blok7A AJOIN view_L2_Blok2 BON A.prov=B.prov AND A.kab=B.kab AND A.kec=B.kec AND A.desa=B.desa AND A.id=B.id AND A.id_ruta=B.id_ruta AND A.id_art=B.id_artWHERE (ISNULL(b7r707,0)+ISNULL(b7r708,0)+ISNULL(b7r709,0)+ISNULL(b7r710,0) >= 1000) AND b7r705='1' AND (B.b3r319_total IS NULL OR B.b3r319_total = 0)"
83. Blok VII: Pengecekan kelengkapan r702 dan r703,"/*Pengecekan kelengkapan r702 dan r703*/SELECT id, id_art, id_ruta, prov, kab, kec, desa, status_dok, b7r702, b7r703 FROM view_L2_Blok7A WHERE ((b7r702  IS NULL and b7r703  IS NOT NULL) or (b7r702  IS not NULL and b7r703  IS NULL))"
84. Blok VII: Pengecekan kelengkapan r722 dan r723,"/*Periksa kesesuaian deskripsi R802 pada R803 kode jenis ikan lainnya (ST2023-Kode = 5194, 5199, 5225, 5299, 5375, 5399, 5453). Masih ditemukan R802 yang berisi deskripsi nama ikan nasional yang ada kode spesifiknya di ST2023-Kode.*/SELECT prov, kab, kec, desa, id, id_ruta, id_art, b8r802,b8r803, status_dokFROM view_L2_Blok8WHERE b8r803 IN ('5194', '5199', '5225', '5299', '5375', '5399', '5453') AND b8r802 IN (SELECT deskripsi FROM Master_R802 WHERE Master_R802.deskripsi NOT LIKE '%LAINNYA%')"
85. Blok VII: Pengecekan kelengkapan r732 dan r733,"/*Pengecekan kelengkapan r732 dan r733*/SELECT id, id_art, id_ruta, prov, kab, kec, desa, status_dok, b7r732, b7r733 FROM view_L2_Blok7C WHERE ((b7r732  IS NULL and b7r733  IS NOT NULL) or (b7r732  IS not NULL and b7r733  IS NULL))"
86. Blok VIII: 802_cek deskripsi nama ikan lainnya,"/*Periksa kesesuaian deskripsi R802 pada R803 kode jenis ikan lainnya (ST2023-Kode = 5194, 5199, 5225, 5299, 5375, 5399, 5453). Masih ditemukan R802 yang berisi deskripsi nama ikan nasional yang ada kode spesifiknya di ST2023-Kode.*/SELECT prov, kab, kec, desa, id, id_ruta, id_art, b8r802,b8r803, status_dokFROM view_L2_Blok8WHERE b8r803 IN ('5194', '5199', '5225', '5299', '5375', '5399', '5453') AND b8r802 IN (SELECT deskripsi FROM Master_R802 WHERE Master_R802.deskripsi NOT LIKE '%LAINNYA%')"
87. Blok VIII: 802_cek deskripsi nama ikan lainnya > 1,"/*satu baris deskripsi jenis ikan lainnya pada R802 (ST2023-Kode = 5194, 5199, 5225, 5299, 5375, 5399, 5453) terisi beberapa deskripsi nama jenis ikan, seharusnya satu baris R802 hanya berisi 1 jenis ikan.*/SELECT prov, kab, kec, desa, id, id_art, id_ruta, status_dok, b8r801, b8r802, b8r803 FROM view_L2_Blok8 WHERE (b8r801 = '1' AND (b8r803 = '5194' OR b8r803 = '5199' OR b8r803 = '5225' OR b8r803 = '5299' OR b8r803 = '5375' OR b8r803 = '5399' OR b8r803 = '5453') AND (b8r802 LIKE '%dan%' OR b8r802 LIKE '%,%' OR b8r802 LIKE '%.%'))"
88. Blok VIII: 806_cek luas baku budidaya ikan,"/*Periksa kewajaran luas baku wadah budidaya (r806). Dikatakan kurang wajar jika: - Batas bawah : r806 < 2 meter2  - Batas atas : r806 > 200.000 meter (20 hektar)*/SELECT prov, kab, kec, desa, id, id_art, id_ruta, status_dok, b8r806 FROM view_L2_Blok8 WHERE (( b8r806 < '2' or b8r806 > '200000' ))"
89. Blok VIII: 812_cek volume produksi per siklus per luas baku,"/*Periksa kewajaran volume produksi per siklus per luas baku (r812 : r809 : r806). Dikatakan kurang wajar jika:A. PEMBESARAN (kg) batas bawah = (r812 : r809 : r806) < 1 kg/m2/siklusbatas atas = (r812 : r809 : r806) > 50 kg/m2/siklus*/SELECT prov, kab, kec, desa, id, id_art, id_ruta, status_dok, b8r802, b8r803, b8r804, b8r806, b8r809, b8r812, b8r812/b8r809/b8r806 as provitas_per_siklus FROM view_L2_Blok8 WHERE ((b8r804 < '4' and ( b8r812/b8r809/b8r806 < '1' or b8r812/b8r809/b8r806 > '50')))"
90. Blok VIII: 809_cek siklus panen setahun,"/*cek kewajaran siklus panen setahun menurut jenis ikan yg diusahakan. List kewajaran siklus panen budidaya ikan:nama_ikan, batas_bawah, batas_atasBandeng, 1, 4Baung, 1, 3Bawal, 1, 3Betok, 1, 4Betutu, 1, 1Gabus, 1, 3Toman, 1, 1.5Gurami/gurame, 1, 2Lele, 1, 5Mas, 1, 4"
91. Blok VIII: 814_cek harga ikan budidaya per satuan,/*Periksa kewajaran harga ikan (R814 X 1000 : R812) per kg atau per ekor menurut jenis ikan masing-masing. Dikatakan kurang wajar jika:A. PEMBESARAN IKAN KONSUMSI AIR LAUT DAN AIR PAYAU (r804 = 1 atau 2)batas bawah: (R814 X 1000 : R812) < Rp 1.000batas atas: (R814 X 1000 : R812) > Rp 500.000B. PEMBESARAN IKAN KONSUMSI AIR TAWAR (r804 = 3)batas bawah: (R814 X 1000 : R812) < Rp 5.000batas atas: (R814 X 1000 : R812) > Rp 200.000C. PEMBENIHAN IKAN KONSUMSI/IKAN HIAS (r804 = 4 atau 5)batas bawah: (R814 X 1000 : R812) < Rp 10batas atas: (R814 X 1000 : R812) > Rp 5.000.000*//* Periksa kewajaran harga ikan (R814 X 1000 : R812) per kg atau per ekor menurut jenis ikan masing-masing */SELECT A.*
92. Blok VIII: 813_cek satuan produksi,"/*Periksa kewajaran rata-rata GT per kapal (R822 : R821), dikatakan kurang wajar jika :-batas bawah (R822 : R821) < 1 GT-batas atas (R822 : R821) > 55 GT*/SELECT prov, kab, kec, desa, id, id_art, id_ruta, status_dok, b8r822_a1/b8r821_a1 as GT_kapalmotorA, b8r822_a2/b8r821_a2 as GT_motortempelA, b8r822_b1/b8r821_b1 as GT_kapalmotorB, b8r822_b2/b8r821_b2 as GT_motortempelBFROM view_L2_Blok2 WHERE ((b8r822_a1/b8r821_a1 < 1 or b8r822_a1/b8r821_a1 > 55) or (b8r822_a1/b8r821_a2 < 1 or b8r822_a1/b8r821_a2 > 55) or (b8r822_b1/b8r821_b1 < 1 or b8r822_b1/b8r821_b1 > 55) or (b8r822_b2/b8r821_b2 < 1 or b8r822_b2/b8r821_b2 > 55))"
93. Blok VIII: 806_cek luas baku banding total penggunaan lahan budidaya ikan r320,"/*Jika jenis wadah (R805) = 4 (tambak), 5 (kolam), atau 9 (lainnya), maka total luas penggunaan lahan budidaya ikan (R320_total) harus >= luas baku wadah budidaya (R806)*/SELECT prov, kab, kec, desa, id, id_art, id_ruta, status_dok, b9r901c_1, b9r901c_2, b9r901c_3 FROM view_L2_Blok2 WHERE (b9r901c_1 > '10000000' or b9r901c_2 > '10000000' or b9r901c_3 > '10000000' or b9r901c_1 < '30' or b9r901c_2 < '30' or b9r901c_3 < '30')"
94. Blok VIII: 822_cek rata-rata GT kapal,"/*Periksa kewajaran rata-rata GT per kapal (R822 : R821), dikatakan kurang wajar jika :-batas bawah (R822 : R821) < 1 GT-batas atas (R822 : R821) > 55 GT*/SELECT prov, kab, kec, desa, id, id_art, id_ruta, status_dok, b8r822_a1/b8r821_a1 as GT_kapalmotorA, b8r822_a2/b8r821_a2 as GT_motortempelA, b8r822_b1/b8r821_b1 as GT_kapalmotorB, b8r822_b2/b8r821_b2 as GT_motortempelBFROM view_L2_Blok2 WHERE ((b8r822_a1/b8r821_a1 < 1 or b8r822_a1/b8r821_a1 > 55) or (b8r822_a1/b8r821_a2 < 1 or b8r822_a1/b8r821_a2 > 55) or (b8r822_b1/b8r821_b1 < 1 or b8r822_b1/b8r821_b1 > 55) or (b8r822_b2/b8r821_b2 < 1 or b8r822_b2/b8r821_b2 > 55))"
95. Blok VIII: 823_cek alat tangkap ikan banding GT kapal,"/*1. Jika Jenis Kapal (R819) = 1 atau 2 (kapal motor atau perahu motor tempel), maka Periksa kewajaran Alat penangkapan Ikan (R823) dengan rata-rata GT Kapal (R822:R821), sesuai Kepmen KP No. 59 Tahun 2020 Tentang Jalur Penangkapan Ikan     dan Alat Penangkapan Ikan.2. Jika R819 berkode 3 (perahu tanpa motor) maka Alat Penangkapan Ikan harus sesuai perahu yang digunakan.*//* Periksa kewajaran Alat penangkapan Ikan (R823) dengan jenis kapal (R819) dan rata-rata GT Kapal (R822 dibagi R821), sesuai Kepmen KP No 59 Tahun 2020 Tentang Jalur Penangkapan Ikan dan Alat Penangkapan Ikan */SELECT a.prov, a.kab, a.kec, a.desa, a.id, a.id_art, a.id_ruta, a.status_dok, a.b8r819_a1, b8r822_a1/b8r821_a1 AS Gross_tonnage_a1, a.b8r823_a1, b.deskripsiFROM view_L2_Blok2 AS a, Master_AlatPenangkapanIkan AS bWHERE a.b8r819_a1 = '1' AND a.b8r823_a1 = b.kode AND ((a.b8r823_a1 = 3 AND b8r822_a1/b8r821_a1 < 31) OR (a.b8r823_a1 = 4 AND b8r822_a1/b8r821_a1 > 5) OR (a.b8r823_a1 = 6 AND b8r822_a1/b8r821_a1 < 31) OR (a.b8r823_a1 = 10 AND b8r822_a1    /b8r821_a1 > 10))"
96. Blok VIII: 826_cek harga ikan tangkap per satuan,"/*Periksa kewajaran harga ikan per kg (R826*1000)/(R825) menurut jenis usaha penangkapannya (R818), sesuai Kepmen KP no. 21 tahun 2023 tentang harga acuan ikan.Jika R818 = A atau B : Batas bawah: (R826 x 1000 : R825) < Rp 500/KgBatas atas : (R826 x 1000 : R825) > Rp 350 ribu/Kg*/SELECT prov, kab, kec, desa, id, id_art, id_ruta, status_dok, b8r826_a1, b8r826_a2, b8r826_a3, b8r826_a4, b8r825_a1, b8r825_a2, b8r825_a3, b8r825_a4,       b8r826_a1*1000/b8r825_a1 as harga_a1, b8r826_a2*1000/b8r825_a2 as harga_a2, b8r826_a3*1000/b8r825_a3 as harga_a3, b8r826_a4*1000/b8r825_a4 as harga_a4FROM view_L2_Blok2 WHERE (((b8r826_a1*1000/b8r825_a1<'500' or b8r826_a2*1000/b8r825_a2<'500' or b8r826_a3*1000/b8r825_a3<'500' or b8r826_a4*1000/b8r825_a4<'500'         or b8r826_a1*1000/b8r825_a1>'350000'or b8r826_a2*1000/b8r825_a2>'350000' or b8r826_a3*1000/b8r825_a3>'350000' or b8r826_a4*1000/b8r825_a4>'350000')))"
97. Blok VIII: 825_cek volume produksi banding GT,"/*Periksa kewajaran R825 volume tangkapan sesuai R822 total GT kapal.Volume tangkapan per trip (R825/1000) dalam satuan Ton dikatakan kurang wajar, jika: - Batas bawah : ((R825)/1000:R822) < 0,0001- Batas atas : ((R825)/1000:R822) > 1,5*//*BATAS BAWAH:*/SELECT prov, kab, kec, desa, id, id_art, id_ruta, status_dok, device, b8r817, b8r822_a1, b8r825_a1, 1.0*b8r825_a1/b8r822_a1 AS volum_gt_a1, b8r822_a2, b8r825_a2, 1.0*b8r825_a2/b8r822_a2 AS volum_gt_a2, b8r822_b1, b8r825_b1, 1.0*b8r825_b1/b8r822_b1 AS volum_gt_b1, b8r822_b2, b8r825_b2, 1.0*b8r825_b2/b8r822_b2 AS volum_gt_b2FROM view_L2_Blok2 WHERE (b8r817 = '1' AND (1.0*b8r825_a1/b8r822_a1 < 0.0001 OR 1.0*b8r825_a2/b8r822_a2 < 0.0001 OR 1.0*b8r825_b1/b8r822_b1 < 0.0001 OR 1.0*b8r825_b2/b8r822_b2 < 0.0001))UNION"
98. Blok VIII: 827_wpp_laut_darat,"/*Periksa kewajaran kode WPP sesuai dengan daftar WPP pada Master Kode ST2023:- Jika R818 kode A dan R819 berkode 1,2,atau 3, maka R822 seharusnya kode WPP selain PD (WPPNRI 571 s.d. WPPNRI 718, LL SH, LL SP)- Jika R818 berkode B dan R819 berkode 1,2,atau 3, maka R822 seharusnya berkode WPP PD (WPPNRI PD 411 s.d. WPPNRI PD 439)*/SELECT prov, kab, kec, desa, id, id_art, id_ruta, status_dok, device, b8r818_a, b8r827_a1, b8r827_a2, b8r827_a3FROM view_L2_Blok2WHERE (b8r818_a = '1' AND (b8r827_a1 IS NOT NULL AND b8r827_a1 NOT LIKE '%WPPNRI 5%' AND b8r827_a1 NOT LIKE '%WPPNRI 7%' AND b8r827_a1 NOT LIKE '%LL%')) OR (b8r818_b = '1' AND (b8r827_b1 IS NOT NULL AND b8r827_a1 NOT LIKE '%WPPNRI PD 4%'))"
99. Blok IX: 901c_cek nilai pendapatan jasa pertanian,"/*Pendapatan UTP jasa pertanian (R901c) dikatakan tidak wajar, jika:-Batas bawah  <= Rp 30 ribu-Batas atas >= Rp 10 miliar*/SELECT prov, kab, kec, desa, id, id_art, id_ruta, status_dok, b9r901c_1, b9r901c_2, b9r901c_3 FROM view_L2_Blok2 WHERE (b9r901c_1 > '10000000' or b9r901c_2 > '10000000' or b9r901c_3 > '10000000' or b9r901c_1 < '30' or b9r901c_2 < '30' or b9r901c_3 < '30')"
100. Blok IX: Pengecekan kewajaran isian bibit rekayasa genetika,"/*Pengecekan kewajaran isian 902b1, 902b_2, 902b3, atau 902b_4 yang berkode 1*/SELECT prov, kab, kec, desa, id, id_ruta, id_art, status_dok, b9r902b_1, b9r902b_2, b9r902b_3, b9r902b_4, b11_catatan FROM view_L2_Blok2 WHERE ((b9r902b_1 = '1' or b9r902b_2 = '1' or b9r902b_3 = '1' or b9r902b_4 = '1'))"
101. Blok X: Konsistensi R1002a dan R1002b,"/*Pengecekan keterkaitan antara R1002b dengan R1002a, R1002b_1 s.d R1002b_5 ada yang terisi tapi R1002a berkode 2 atau R1002b_1 s.d R1002b_5 ada yang blank tapi R1002a berkode 1*/SELECT prov, kab, kec, desa, id, id_ruta, b10r1002a,b10r1002b_1,b10r1002b_2,b10r1002b_3,b10r1002b_4,b10r1002b_5,status_dokFROM view_L2_Blok2WHERE b10r1002a='1' AND (b10r1002b_1 = '2' AND b10r1002b_2 = '2' AND b10r1002b_3 = '2' AND b10r1002b_4 = '2' AND b10r1002b_5 = '2')UNIONSELECT prov, kab, kec, desa, id, id_ruta, b10r1002a,b10r1002b_1,b10r1002b_2,b10r1002b_3,b10r1002b_4,b10r1002b_5,status_dokFROM view_L2_Blok2WHERE b10r1002a='1' AND (b10r1002b_1 IS NULL OR b10r1002b_2 IS NULL OR b10r1002b_3 IS NULL OR b10r1002b_4 IS NULL OR b10r1002b_5 IS NULL OR b10r1002b_1='' OR b10r1002b_2='' OR b10r1002b_3='' OR b10r1002b_4='' OR b10r1002b_5='')"
102. Blok X: Konsistensi R1002a dan R1002c,"/*Pengecekan keterkaitan antara R1002c dengan R1002a, R1002c_1 s.d R1002c_6 ada yang terisi tapi R1002a berkode 2 atau R1002c_1 s.d R1002c_6 ada yang blank tapi R1002a berkode 1*/SELECT prov, kab, kec, desa, id, id_ruta, b10r1002a,b10r1002c_1,b10r1002c_2,b10r1002c_3,b10r1002c_4,b10r1002c_5,b10r1002c_6,status_dokFROM view_L2_Blok2WHERE b10r1002a='1' AND (b10r1002c_1 = '2' AND b10r1002c_2 = '2' AND b10r1002c_3 = '2' AND b10r1002c_4 = '2' AND b10r1002c_5 = '2' AND b10r1002c_6 = '2')UNIONSELECT prov, kab, kec, desa, id, id_ruta, b10r1002a,b10r1002c_1,b10r1002c_2,b10r1002c_3,b10r1002c_4,b10r1002c_5,b10r1002c_6,status_dokFROM view_L2_Blok2WHERE b10r1002a='1' AND (b10r1002c_1 IS NULL OR b10r1002c_2 IS NULL OR b10r1002c_3 IS NULL OR b10r1002c_4 IS NULL OR b10r1002c_5 IS NULL OR b10r1002c_6 IS NULL)"
103. Blok X: Konsistensi R1002a dan R1002d,"/*Pengecekan keterkaitan antara R1002d dengan R1002a, R1002d_1 s.d R1002d_4 adayang terisi tapi R1002a berkode 2 atau R1002d_1 s.d R1002d_4 ada yang blank tapi R1002a berkode 1*/SELECT prov, kab, kec, desa, id, id_ruta, b10r1002a,b10r1002d_1,b10r1002d_2,b10r1002d_3,b10r1002d_4,status_dokFROM view_L2_Blok2WHERE b10r1002a='1' AND (b10r1002d_1 = '2' AND b10r1002d_2 = '2' AND b10r1002d_3 = '2' AND b10r1002d_4 = '2')UNIONSELECT prov, kab, kec, desa, id, id_ruta, b10r1002a,b10r1002d_1,b10r1002d_2,b10r1002d_3,b10r1002d_4,status_dokFROM view_L2_Blok2WHERE b10r1002a='1' AND (b10r1002d_1 IS NULL OR b10r1002d_2 IS NULL OR b10r1002d_3 IS NULL OR b10r1002d_4 IS NULL)"
